ID,AGENCY_CODE,PROJ_CODE,S_ID,O_ID,H_NO,O_LATITUDE_GDA,O_LONGITUDE_GDA,O_WA_SOILGRP_CODE,H_TEXTURE,P_HCO3_,P_HCO3_1,P_HCO3_2,P_HCO3_3,P_HCO3_4,P_any_,P_buff_,P_buff_1,P_buff_2,P_buffany,ENT_DESC,PROP_DESC,LAND_USE_DESCRIPTION,LU_SEL
501_BMA_0354V_1,501,BMA,0354V,1,5,-33.754569,115.359748,103,FSCL,1,,,,,1,,,,,Agricultural Services,Government,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,4,-33.724482,115.223963,444,FS,3,,,,,3,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,1,-33.724482,115.223963,444,LS,110,,,,,110,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,1,-33.724482,115.223963,444,LS,58,,,,,58,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,1,-33.724482,115.223963,444,LS,4,,,,,4,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,2,-33.724482,115.223963,444,S,1,,,,,1,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,2,-33.724482,115.223963,444,S,2,,,,,2,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0355_1,501,BMA,0355,1,3,-33.724482,115.223963,444,S,2,,,,,2,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0356_1,501,BMA,0356,1,1,-33.721234,115.225066,444,LS,12,,,,,12,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0356_1,501,BMA,0356,1,1,-33.721234,115.225066,444,LS,34,,,,,34,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0357_1,501,BMA,0357,1,1,-33.720575,115.223741,464,LS,41,,,,,41,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0357_1,501,BMA,0357,1,1,-33.720575,115.223741,464,LS,120,,,,,120,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0358_1,501,BMA,0358,1,1,-33.728384,115.225652,465,LFS,89,,,,,89,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0358_1,501,BMA,0358,1,1,-33.728384,115.225652,465,LFS,180,,,,,180,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0359_1,501,BMA,0359,1,1,-33.732497,115.220333,508,FSL,37,,,,,37,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0359_1,501,BMA,0359,1,1,-33.732497,115.220333,508,FSL,76,,,,,76,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,1,-33.732881,115.232683,408,LS,72,,,,,72,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,4,-33.732881,115.232683,408,FSCL,1,,,,,1,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,3,-33.732881,115.232683,408,FSCL,2,,,,,2,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,2,-33.732881,115.232683,408,LS,8,,,,,8,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,1,-33.732881,115.232683,408,LS,46,,,,,46,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0360_1,501,BMA,0360,1,3,-33.732881,115.232683,408,FSCL,2,,,,,2,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0361_1,501,BMA,0361,1,1,-33.72542,115.219896,541,SL,33,,,,,33,,,,,,,,1
501_BMA_0361_1,501,BMA,0361,1,2,-33.72542,115.219896,541,SCL,8,,,,,8,,,,,,,,1
501_BMA_0361_1,501,BMA,0361,1,2,-33.72542,115.219896,541,SCL,6,,,,,6,,,,,,,,1
501_BMA_0361_1,501,BMA,0361,1,2,-33.72542,115.219896,541,SCL,33,,,,,33,,,,,,,,1
501_BMA_0361_1,501,BMA,0361,1,3,-33.72542,115.219896,541,SCL,3,,,,,3,,,,,,,,1
501_BMA_0362_1,501,BMA,0362,1,3,-33.723819,115.220771,441,S,10,,,,,10,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0362_1,501,BMA,0362,1,4,-33.723819,115.220771,441,S,1,,,,,1,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0362_1,501,BMA,0362,1,1,-33.723819,115.220771,441,S,56,,,,,56,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0362_1,501,BMA,0362,1,1,-33.723819,115.220771,441,S,28,,,,,28,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0362_1,501,BMA,0362,1,2,-33.723819,115.220771,441,S,7,,,,,7,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0363_1,501,BMA,0363,1,1,-33.723051,115.216891,465,LS,78,,,,,78,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0363_1,501,BMA,0363,1,1,-33.723051,115.216891,465,LS,99,,,,,99,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,4,-33.72571,115.216814,501,LMC,2,,,,,2,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,1,-33.72571,115.216814,501,LS,42,,,,,42,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,1,-33.72571,115.216814,501,LS,90,,,,,90,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,2,-33.72571,115.216814,501,SCL,2,,,,,2,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
