"","X1","X2","X3","X4","X5","X6"
"122",326,100,100,100,100,"Hemic Dermosol"
"123",327,100,100,100,100,"Sapric Dermosol"
"124",328,100,100,100,100,"Fibric Dermosol"
"125",329,100,100,100,100," Bleached-Leptic Dermosol"
"126",330,100,100,100,100,"Red-Orthic Dermosol"
"127",331,100,100,100,100,"Salic Dermosol"
"128",332,100,100,100,100,"Hypersalic Dermosol"
"129",333,100,100,100,100,"Calcic Dermosol"
"130",334,100,100,100,100,"Hypocalcic Dermosol"
"131",335,100,100,100,100,"Hortic Dermosol"
"132",336,100,100,100,100,"Dredgic Dermosol"
"133",337,100,100,100,100,"Black-Orthic Dermosol"
"134",338,100,100,100,100,"Cumulic Dermosol"
"135",339,100,100,100,100,"Urbic Dermosol"
"136",340,100,100,100,100,"Carbic Dermosol"
"137",341,100,100,100,100,"Hypercalcic Dermosol"
"138",342,100,100,100,100,"Scalpic Dermosol"
"139",343,100,100,100,100,"Lithocalcic Dermosol"
"140",344,100,100,100,100,"Calcenic Dermosol"
"141",345,100,100,100,100,"Supracalcic Dermosol"
"142",346,100,100,100,100,"Hypergypsic Dermosol"
"143",347,100,100,100,100,"Sesqui-Nodular Dermosol"
"144",348,100,100,100,100,"Garbic Dermosol"
"145",401,100,100,100,100,"Red Chromosol"
"146",402,100,100,100,100,"Brown Chromosol"
"147",403,100,100,100,100,"Leptic Chromosol"
"148",404,100,100,100,100,"Bleached-Orthic Chromosol"
"149",405,100,100,100,100,"Chernic Chromosol"
"150",406,100,100,100,100,"Brown-Orthic Chromosol"
"151",407,100,100,100,100,"Semiaquic Chromosol"
"152",408,100,100,100,100,"Aeric Chromosol"
"153",409,100,100,100,100,"Yellow Chromosol"
"154",410,100,100,100,100,"Oxyaquic Chromosol"
"155",411,100,100,100,100,"Brown-Orthic Chromosol"
"156",412,100,100,100,100,"Arenic Chromosol"
"157",413,100,100,100,100,"Clastic Chromosol"
"158",414,100,100,100,100,"Grey Chromosol"
"159",415,100,100,100,100,"Black Chromosol"
"160",416,100,100,100,100,"Shelly Chromosol"
"161",417,100,100,100,100,"Redoxic Chromosol"
"162",418,100,100,100,100,"Grey-Orthic Chromosol"
"163",419,100,100,100,100,"Stratic Chromosol"
"164",420,100,100,100,100,"Spolic Chromosol"
"165",421,100,100,100,100,"Aquic Chromosol"
"166",422,100,100,100,100,"Chernic-Leptic Chromosol"
"167",423,100,100,100,100,"Lutic Chromosol"
"168",424,100,100,100,100,"Supratidal Chromosol"
"169",425,100,100,100,100,"Extratidal Chromosol"
"170",426,100,100,100,100,"Hemic Chromosol"
"171",427,100,100,100,100,"Sapric Chromosol"
"172",428,100,100,100,100,"Fibric Chromosol"
"173",429,100,100,100,100," Bleached-Leptic Chromosol"
"174",430,100,100,100,100,"Red-Orthic Chromosol"
"175",431,100,100,100,100,"Salic Chromosol"
"176",432,100,100,100,100,"Hypersalic Chromosol"
"177",433,100,100,100,100,"Calcic Chromosol"
"178",434,100,100,100,100,"Hypocalcic Chromosol"
"179",435,100,100,100,100,"Hortic Chromosol"
"180",436,100,100,100,100,"Dredgic Chromosol"
"181",437,100,100,100,100,"Black-Orthic Chromosol"
"182",438,100,100,100,100,"Cumulic Chromosol"
"183",439,100,100,100,100,"Urbic Chromosol"
"184",440,100,100,100,100,"Carbic Chromosol"
"185",441,100,100,100,100,"Hypercalcic Chromosol"
"186",442,100,100,100,100,"Scalpic Chromosol"
"187",443,100,100,100,100,"Lithocalcic Chromosol"
"188",444,100,100,100,100,"Calcenic Chromosol"
"189",445,100,100,100,100,"Supracalcic Chromosol"
"190",446,100,100,100,100,"Hypergypsic Chromosol"
"191",447,100,100,100,100,"Sesqui-Nodular Chromosol"
"192",448,100,100,100,100,"Garbic Chromosol"
"193",501,100,100,100,100,"Red Ferrosol"
"194",502,100,100,100,100,"Brown Ferrosol"
"195",503,100,100,100,100,"Leptic Ferrosol"
"196",504,100,100,100,100,"Bleached-Orthic Ferrosol"
"197",505,100,100,100,100,"Chernic Ferrosol"
"198",506,100,100,100,100,"Brown-Orthic Ferrosol"
"199",507,100,100,100,100,"Semiaquic Ferrosol"
"200",508,100,100,100,100,"Aeric Ferrosol"
"201",509,100,100,100,100,"Yellow Ferrosol"
"202",510,100,100,100,100,"Oxyaquic Ferrosol"
"203",511,100,100,100,100,"Brown-Orthic Ferrosol"
"204",512,100,100,100,100,"Arenic Ferrosol"
"205",513,100,100,100,100,"Clastic Ferrosol"
"206",514,100,100,100,100,"Grey Ferrosol"
"207",515,100,100,100,100,"Black Ferrosol"
"208",516,100,100,100,100,"Shelly Ferrosol"
"209",517,100,100,100,100,"Redoxic Ferrosol"
"210",518,100,100,100,100,"Grey-Orthic Ferrosol"
"211",519,100,100,100,100,"Stratic Ferrosol"
"212",520,100,100,100,100,"Spolic Ferrosol"
"213",521,100,100,100,100,"Aquic Ferrosol"
"214",522,100,100,100,100,"Chernic-Leptic Ferrosol"
"215",523,100,100,100,100,"Lutic Ferrosol"
"216",524,100,100,100,100,"Supratidal Ferrosol"
"217",525,100,100,100,100,"Extratidal Ferrosol"
"218",526,100,100,100,100,"Hemic Ferrosol"
"219",527,100,100,100,100,"Sapric Ferrosol"
"220",528,100,100,100,100,"Fibric Ferrosol"
"221",529,100,100,100,100," Bleached-Leptic Ferrosol"
"222",530,100,100,100,100,"Red-Orthic Ferrosol"
"223",531,100,100,100,100,"Salic Ferrosol"
"224",532,100,100,100,100,"Hypersalic Ferrosol"
"225",533,100,100,100,100,"Calcic Ferrosol"
"226",534,100,100,100,100,"Hypocalcic Ferrosol"
"227",535,100,100,100,100,"Hortic Ferrosol"
"228",536,100,100,100,100,"Dredgic Ferrosol"
"229",537,100,100,100,100,"Black-Orthic Ferrosol"
"230",538,100,100,100,100,"Cumulic Ferrosol"
"231",539,100,100,100,100,"Urbic Ferrosol"
"232",540,100,100,100,100,"Carbic Ferrosol"
"233",541,100,100,100,100,"Hypercalcic Ferrosol"
"234",542,100,100,100,100,"Scalpic Ferrosol"
"235",543,100,100,100,100,"Lithocalcic Ferrosol"
